sex,age_group,count
male,<1,0
female,<1,1
male,01-04,0
female,01-04,0
male,05-09,0
female,05-09,0
male,10-14,0
female,10-14,0
male,15-19,2
female,15-19,0
male,20-24,12
female,20-24,1
male,25-29,32
female,25-29,19
male,30-34,111
female,30-34,49
male,35-39,235
female,35-39,135
male,40-44,420
female,40-44,182
male,45-49,587
female,45-49,348
male,50-54,819
female,50-54,424
male,55-59,817
female,55-59,462
male,60-64,653
female,60-64,351
male,65-69,566
female,65-69,269
male,70-74,353
female,70-74,203
male,75-79,209
female,75-79,111
male,80-84,96
female,80-84,35
male,85-89,29
female,85-89,16
male,90+,8
female,90+,3
